"date","hits","keyword","geo","time","gprop","category"
2019-11-03,14,"Recession","CA-ON","today+5-y","web",0
2019-11-10,10,"Recession","CA-ON","today+5-y","web",0
2019-11-17,12,"Recession","CA-ON","today+5-y","web",0
2019-11-24,11,"Recession","CA-ON","today+5-y","web",0
2019-12-01,11,"Recession","CA-ON","today+5-y","web",0
2019-12-08,13,"Recession","CA-ON","today+5-y","web",0
2019-12-15,12,"Recession","CA-ON","today+5-y","web",0
2019-12-22,7,"Recession","CA-ON","today+5-y","web",0
2019-12-29,8,"Recession","CA-ON","today+5-y","web",0
2020-01-05,9,"Recession","CA-ON","today+5-y","web",0
2020-01-12,9,"Recession","CA-ON","today+5-y","web",0
2020-01-19,10,"Recession","CA-ON","today+5-y","web",0
2020-01-26,11,"Recession","CA-ON","today+5-y","web",0
2020-02-02,10,"Recession","CA-ON","today+5-y","web",0
2020-02-09,8,"Recession","CA-ON","today+5-y","web",0
2020-02-16,8,"Recession","CA-ON","today+5-y","web",0
2020-02-23,22,"Recession","CA-ON","today+5-y","web",0
2020-03-01,19,"Recession","CA-ON","today+5-y","web",0
2020-03-08,87,"Recession","CA-ON","today+5-y","web",0
2020-03-15,100,"Recession","CA-ON","today+5-y","web",0
2020-03-22,52,"Recession","CA-ON","today+5-y","web",0
2020-03-29,34,"Recession","CA-ON","today+5-y","web",0
2020-04-05,31,"Recession","CA-ON","today+5-y","web",0
2020-04-12,26,"Recession","CA-ON","today+5-y","web",0
2020-04-19,19,"Recession","CA-ON","today+5-y","web",0
2020-04-26,27,"Recession","CA-ON","today+5-y","web",0
2020-05-03,21,"Recession","CA-ON","today+5-y","web",0
2020-05-10,16,"Recession","CA-ON","today+5-y","web",0
2020-05-17,13,"Recession","CA-ON","today+5-y","web",0
2020-05-24,14,"Recession","CA-ON","today+5-y","web",0
2020-05-31,10,"Recession","CA-ON","today+5-y","web",0
2020-06-07,11,"Recession","CA-ON","today+5-y","web",0
2020-06-14,10,"Recession","CA-ON","today+5-y","web",0
2020-06-21,7,"Recession","CA-ON","today+5-y","web",0
2020-06-28,7,"Recession","CA-ON","today+5-y","web",0
2020-07-05,6,"Recession","CA-ON","today+5-y","web",0
2020-07-12,8,"Recession","CA-ON","today+5-y","web",0
2020-07-19,8,"Recession","CA-ON","today+5-y","web",0
2020-07-26,10,"Recession","CA-ON","today+5-y","web",0
2020-08-02,7,"Recession","CA-ON","today+5-y","web",0
2020-08-09,16,"Recession","CA-ON","today+5-y","web",0
2020-08-16,7,"Recession","CA-ON","today+5-y","web",0
2020-08-23,4,"Recession","CA-ON","today+5-y","web",0
2020-08-30,8,"Recession","CA-ON","today+5-y","web",0
2020-09-06,6,"Recession","CA-ON","today+5-y","web",0
2020-09-13,7,"Recession","CA-ON","today+5-y","web",0
2020-09-20,7,"Recession","CA-ON","today+5-y","web",0
2020-09-27,6,"Recession","CA-ON","today+5-y","web",0
2020-10-04,8,"Recession","CA-ON","today+5-y","web",0
2020-10-11,8,"Recession","CA-ON","today+5-y","web",0
2020-10-18,6,"Recession","CA-ON","today+5-y","web",0
2020-10-25,5,"Recession","CA-ON","today+5-y","web",0
2020-11-01,5,"Recession","CA-ON","today+5-y","web",0
2020-11-08,6,"Recession","CA-ON","today+5-y","web",0
2020-11-15,7,"Recession","CA-ON","today+5-y","web",0
2020-11-22,8,"Recession","CA-ON","today+5-y","web",0
2020-11-29,7,"Recession","CA-ON","today+5-y","web",0
2020-12-06,7,"Recession","CA-ON","today+5-y","web",0
2020-12-13,5,"Recession","CA-ON","today+5-y","web",0
2020-12-20,4,"Recession","CA-ON","today+5-y","web",0
2020-12-27,5,"Recession","CA-ON","today+5-y","web",0
2021-01-03,5,"Recession","CA-ON","today+5-y","web",0
2021-01-10,7,"Recession","CA-ON","today+5-y","web",0
2021-01-17,6,"Recession","CA-ON","today+5-y","web",0
2021-01-24,6,"Recession","CA-ON","today+5-y","web",0
2021-01-31,7,"Recession","CA-ON","today+5-y","web",0
2021-02-07,6,"Recession","CA-ON","today+5-y","web",0
2021-02-14,4,"Recession","CA-ON","today+5-y","web",0
2021-02-21,6,"Recession","CA-ON","today+5-y","web",0
2021-02-28,5,"Recession","CA-ON","today+5-y","web",0
2021-03-07,5,"Recession","CA-ON","today+5-y","web",0
2021-03-14,5,"Recession","CA-ON","today+5-y","web",0
2021-03-21,3,"Recession","CA-ON","today+5-y","web",0
2021-03-28,4,"Recession","CA-ON","today+5-y","web",0
2021-04-04,7,"Recession","CA-ON","today+5-y","web",0
2021-04-11,5,"Recession","CA-ON","today+5-y","web",0
2021-04-18,4,"Recession","CA-ON","today+5-y","web",0
2021-04-25,3,"Recession","CA-ON","today+5-y","web",0
2021-05-02,2,"Recession","CA-ON","today+5-y","web",0
2021-05-09,4,"Recession","CA-ON","today+5-y","web",0
2021-05-16,2,"Recession","CA-ON","today+5-y","web",0
2021-05-23,5,"Recession","CA-ON","today+5-y","web",0
2021-05-30,3,"Recession","CA-ON","today+5-y","web",0
2021-06-06,1,"Recession","CA-ON","today+5-y","web",0
2021-06-13,3,"Recession","CA-ON","today+5-y","web",0
2021-06-20,2,"Recession","CA-ON","today+5-y","web",0
2021-06-27,3,"Recession","CA-ON","today+5-y","web",0
2021-07-04,4,"Recession","CA-ON","today+5-y","web",0
2021-07-11,6,"Recession","CA-ON","today+5-y","web",0
2021-07-18,3,"Recession","CA-ON","today+5-y","web",0
2021-07-25,3,"Recession","CA-ON","today+5-y","web",0
2021-08-01,3,"Recession","CA-ON","today+5-y","web",0
2021-08-08,2,"Recession","CA-ON","today+5-y","web",0
2021-08-15,3,"Recession","CA-ON","today+5-y","web",0
2021-08-22,1,"Recession","CA-ON","today+5-y","web",0
2021-08-29,3,"Recession","CA-ON","today+5-y","web",0
2021-09-05,2,"Recession","CA-ON","today+5-y","web",0
2021-09-12,3,"Recession","CA-ON","today+5-y","web",0
2021-09-19,5,"Recession","CA-ON","today+5-y","web",0
2021-09-26,5,"Recession","CA-ON","today+5-y","web",0
2021-10-03,5,"Recession","CA-ON","today+5-y","web",0
2021-10-10,7,"Recession","CA-ON","today+5-y","web",0
2021-10-17,8,"Recession","CA-ON","today+5-y","web",0
2021-10-24,4,"Recession","CA-ON","today+5-y","web",0
2021-10-31,3,"Recession","CA-ON","today+5-y","web",0
2021-11-07,7,"Recession","CA-ON","today+5-y","web",0
2021-11-14,4,"Recession","CA-ON","today+5-y","web",0
2021-11-21,5,"Recession","CA-ON","today+5-y","web",0
2021-11-28,5,"Recession","CA-ON","today+5-y","web",0
2021-12-05,4,"Recession","CA-ON","today+5-y","web",0
2021-12-12,5,"Recession","CA-ON","today+5-y","web",0
2021-12-19,3,"Recession","CA-ON","today+5-y","web",0
2021-12-26,3,"Recession","CA-ON","today+5-y","web",0
2022-01-02,4,"Recession","CA-ON","today+5-y","web",0
2022-01-09,8,"Recession","CA-ON","today+5-y","web",0
2022-01-16,5,"Recession","CA-ON","today+5-y","web",0
2022-01-23,8,"Recession","CA-ON","today+5-y","web",0
2022-01-30,7,"Recession","CA-ON","today+5-y","web",0
2022-02-06,8,"Recession","CA-ON","today+5-y","web",0
2022-02-13,7,"Recession","CA-ON","today+5-y","web",0
2022-02-20,11,"Recession","CA-ON","today+5-y","web",0
2022-02-27,9,"Recession","CA-ON","today+5-y","web",0
2022-03-06,14,"Recession","CA-ON","today+5-y","web",0
2022-03-13,13,"Recession","CA-ON","today+5-y","web",0
2022-03-20,13,"Recession","CA-ON","today+5-y","web",0
2022-03-27,15,"Recession","CA-ON","today+5-y","web",0
2022-04-03,15,"Recession","CA-ON","today+5-y","web",0
2022-04-10,13,"Recession","CA-ON","today+5-y","web",0
2022-04-17,16,"Recession","CA-ON","today+5-y","web",0
2022-04-24,22,"Recession","CA-ON","today+5-y","web",0
2022-05-01,20,"Recession","CA-ON","today+5-y","web",0
2022-05-08,27,"Recession","CA-ON","today+5-y","web",0
2022-05-15,38,"Recession","CA-ON","today+5-y","web",0
2022-05-22,20,"Recession","CA-ON","today+5-y","web",0
2022-05-29,20,"Recession","CA-ON","today+5-y","web",0
2022-06-05,44,"Recession","CA-ON","today+5-y","web",0
2022-06-12,81,"Recession","CA-ON","today+5-y","web",0
2022-06-19,61,"Recession","CA-ON","today+5-y","web",0
2022-06-26,32,"Recession","CA-ON","today+5-y","web",0
2022-07-03,71,"Recession","CA-ON","today+5-y","web",0
2022-07-10,51,"Recession","CA-ON","today+5-y","web",0
2022-07-17,35,"Recession","CA-ON","today+5-y","web",0
2022-07-24,57,"Recession","CA-ON","today+5-y","web",0
2022-07-31,33,"Recession","CA-ON","today+5-y","web",0
2022-08-07,21,"Recession","CA-ON","today+5-y","web",0
2022-08-14,24,"Recession","CA-ON","today+5-y","web",0
2022-08-21,14,"Recession","CA-ON","today+5-y","web",0
2022-08-28,16,"Recession","CA-ON","today+5-y","web",0
2022-09-04,16,"Recession","CA-ON","today+5-y","web",0
2022-09-11,23,"Recession","CA-ON","today+5-y","web",0
2022-09-18,29,"Recession","CA-ON","today+5-y","web",0
2022-09-25,37,"Recession","CA-ON","today+5-y","web",0
2022-10-02,40,"Recession","CA-ON","today+5-y","web",0
2022-10-09,56,"Recession","CA-ON","today+5-y","web",0
2022-10-16,53,"Recession","CA-ON","today+5-y","web",0
2022-10-23,53,"Recession","CA-ON","today+5-y","web",0
