"date","hits","keyword","geo","time","gprop","category"
2019-09-22,57,"Supply chain","CA-ON","today+5-y","web",0
2019-09-29,43,"Supply chain","CA-ON","today+5-y","web",0
2019-10-06,37,"Supply chain","CA-ON","today+5-y","web",0
2019-10-13,41,"Supply chain","CA-ON","today+5-y","web",0
2019-10-20,40,"Supply chain","CA-ON","today+5-y","web",0
2019-10-27,44,"Supply chain","CA-ON","today+5-y","web",0
2019-11-03,53,"Supply chain","CA-ON","today+5-y","web",0
2019-11-10,53,"Supply chain","CA-ON","today+5-y","web",0
2019-11-17,51,"Supply chain","CA-ON","today+5-y","web",0
2019-11-24,51,"Supply chain","CA-ON","today+5-y","web",0
2019-12-01,51,"Supply chain","CA-ON","today+5-y","web",0
2019-12-08,48,"Supply chain","CA-ON","today+5-y","web",0
2019-12-15,41,"Supply chain","CA-ON","today+5-y","web",0
2019-12-22,18,"Supply chain","CA-ON","today+5-y","web",0
2019-12-29,34,"Supply chain","CA-ON","today+5-y","web",0
2020-01-05,47,"Supply chain","CA-ON","today+5-y","web",0
2020-01-12,52,"Supply chain","CA-ON","today+5-y","web",0
2020-01-19,58,"Supply chain","CA-ON","today+5-y","web",0
2020-01-26,53,"Supply chain","CA-ON","today+5-y","web",0
2020-02-02,54,"Supply chain","CA-ON","today+5-y","web",0
2020-02-09,52,"Supply chain","CA-ON","today+5-y","web",0
2020-02-16,62,"Supply chain","CA-ON","today+5-y","web",0
2020-02-23,61,"Supply chain","CA-ON","today+5-y","web",0
2020-03-01,55,"Supply chain","CA-ON","today+5-y","web",0
2020-03-08,56,"Supply chain","CA-ON","today+5-y","web",0
2020-03-15,62,"Supply chain","CA-ON","today+5-y","web",0
2020-03-22,60,"Supply chain","CA-ON","today+5-y","web",0
2020-03-29,58,"Supply chain","CA-ON","today+5-y","web",0
2020-04-05,54,"Supply chain","CA-ON","today+5-y","web",0
2020-04-12,56,"Supply chain","CA-ON","today+5-y","web",0
2020-04-19,47,"Supply chain","CA-ON","today+5-y","web",0
2020-04-26,47,"Supply chain","CA-ON","today+5-y","web",0
2020-05-03,50,"Supply chain","CA-ON","today+5-y","web",0
2020-05-10,40,"Supply chain","CA-ON","today+5-y","web",0
2020-05-17,43,"Supply chain","CA-ON","today+5-y","web",0
2020-05-24,46,"Supply chain","CA-ON","today+5-y","web",0
2020-05-31,55,"Supply chain","CA-ON","today+5-y","web",0
2020-06-07,42,"Supply chain","CA-ON","today+5-y","web",0
2020-06-14,48,"Supply chain","CA-ON","today+5-y","web",0
2020-06-21,51,"Supply chain","CA-ON","today+5-y","web",0
2020-06-28,39,"Supply chain","CA-ON","today+5-y","web",0
2020-07-05,41,"Supply chain","CA-ON","today+5-y","web",0
2020-07-12,44,"Supply chain","CA-ON","today+5-y","web",0
2020-07-19,45,"Supply chain","CA-ON","today+5-y","web",0
2020-07-26,50,"Supply chain","CA-ON","today+5-y","web",0
2020-08-02,53,"Supply chain","CA-ON","today+5-y","web",0
2020-08-09,52,"Supply chain","CA-ON","today+5-y","web",0
2020-08-16,36,"Supply chain","CA-ON","today+5-y","web",0
2020-08-23,42,"Supply chain","CA-ON","today+5-y","web",0
2020-08-30,43,"Supply chain","CA-ON","today+5-y","web",0
2020-09-06,49,"Supply chain","CA-ON","today+5-y","web",0
2020-09-13,43,"Supply chain","CA-ON","today+5-y","web",0
2020-09-20,53,"Supply chain","CA-ON","today+5-y","web",0
2020-09-27,65,"Supply chain","CA-ON","today+5-y","web",0
2020-10-04,73,"Supply chain","CA-ON","today+5-y","web",0
2020-10-11,53,"Supply chain","CA-ON","today+5-y","web",0
2020-10-18,57,"Supply chain","CA-ON","today+5-y","web",0
2020-10-25,49,"Supply chain","CA-ON","today+5-y","web",0
2020-11-01,47,"Supply chain","CA-ON","today+5-y","web",0
2020-11-08,55,"Supply chain","CA-ON","today+5-y","web",0
2020-11-15,57,"Supply chain","CA-ON","today+5-y","web",0
2020-11-22,46,"Supply chain","CA-ON","today+5-y","web",0
2020-11-29,37,"Supply chain","CA-ON","today+5-y","web",0
2020-12-06,50,"Supply chain","CA-ON","today+5-y","web",0
2020-12-13,57,"Supply chain","CA-ON","today+5-y","web",0
2020-12-20,28,"Supply chain","CA-ON","today+5-y","web",0
2020-12-27,16,"Supply chain","CA-ON","today+5-y","web",0
2021-01-03,41,"Supply chain","CA-ON","today+5-y","web",0
2021-01-10,48,"Supply chain","CA-ON","today+5-y","web",0
